,0
0,11834.508000000036
1,17200.44000000004
2,21307.39800000003
3,24016.37400000003
4,25408.362000000026
5,26405.35900000003
6,26941.35300000003
7,27769.343000000026
8,28308.334000000028
9,28821.321000000033
10,25468.31500000003
11,23211.29600000003
12,21081.27100000003
13,19220.26800000003
14,18591.259000000027
15,17782.26400000003
16,18283.26200000003
17,17427.25400000003
18,17252.25400000003
19,16882.25400000003
20,19486.234000000026
21,20720.224000000024
22,21147.213000000018
23,20936.20900000002
24,20579.194000000018
25,20342.18700000002
26,20300.17700000001
27,20272.178000000014
28,20468.16700000001
29,21189.15700000001
30,20742.14800000001
31,20744.13600000001
32,19921.13900000001
33,20827.143000000015
34,21083.125000000007
35,21966.106000000007
36,21609.093000000008
37,22717.07600000001
38,23179.064000000006
39,23129.054000000004
40,22372.055000000004
41,22801.057000000004
42,23066.051000000003
43,22666.056000000004
44,22768.053000000004
45,22175.054000000004
46,22040.052000000003
47,20470.054000000004
48,19895.056000000004
49,19580.051000000003
50,20792.052000000003
51,20958.056000000004
52,21202.052000000003
53,21470.049000000006
54,20760.045000000006
55,20228.045000000006
56,20490.057000000004
57,20150.058000000008
58,20418.056000000008
59,20051.055000000008
60,19809.045000000006
61,18678.042000000005
62,18077.045000000006
63,17887.046000000006
64,18368.042000000005
65,19538.044000000005
66,18740.046000000006
67,19543.046000000006
68,19153.047000000006
69,19819.045000000002
70,18836.046000000006
71,19213.049000000006
72,19858.047000000006
73,19707.043
74,19951.041000000005
75,19431.036000000004
76,21345.042000000005
77,20664.038000000004
78,20867.040000000005
79,21650.046000000006
80,22222.048000000006
81,22497.041000000005
82,22869.044000000005
83,23134.039000000004
84,21922.041000000005
85,22185.039000000004
86,21974.041000000005
87,22294.033000000003
88,21475.037000000004
89,20729.037000000004
90,20360.038000000004
91,19614.039000000004
92,18891.034000000003
93,19505.038
94,20282.038000000004
95,19684.040000000005
96,20516.039000000004
97,20534.038000000004
98,20958.040000000005
99,21028.034000000003
100,20480.037000000004
101,22042.035000000003
102,22432.036000000004
103,21483.034000000003
104,22008.026
105,21228.029000000002
106,20625.033000000003
107,19691.030000000006
108,19491.032000000003
109,19933.031000000003
110,20573.033000000003
111,20222.034000000003
112,20958.039000000004
113,21730.040000000005
114,21532.041000000005
115,21756.040000000005
116,21740.040000000005
117,22312.041000000005
118,22861.045000000006
119,22268.045000000006
120,21085.046000000006
121,21093.046000000006
